account_number;name;short_name;class;parent_number;normal_side;is_posting;is_system;notes
10;VALEURS EN CAISSE;;1;;D;FALSE;TRUE;
101;Billets et monnaies;;1;10;D;FALSE;TRUE;
1011;Billets et monnaies émis par la BCEAO;;1;101;D;TRUE;TRUE;
101111;Caisse (agence);;1;1011;D;TRUE;FALSE;
11;COMPTES ORDINAIRES CHEZ LES INSTITUTIONS FINANCIERES;;1;;D;FALSE;TRUE;
113;Centre des Chèques postaux;;1;11;D;FALSE;TRUE;
1131;Centre des Chèques postaux;;1;113;D;TRUE;TRUE;
1136;Dettes rattachées;;1;113;C;TRUE;TRUE;
1137;Créances rattachées;;1;113;D;TRUE;TRUE;
114;Banques et correspondants;;1;11;D;FALSE;TRUE;
1141;Banques et correspondants;;1;114;D;TRUE;TRUE;
1146;Dettes rattachées;;1;114;C;TRUE;TRUE;
1147;Créances rattachées;;1;114;D;TRUE;TRUE;
116;Systèmes Financiers Décentralisés;;1;11;D;FALSE;TRUE;
1161;Systèmes Financiers Décentralisés;;1;116;D;TRUE;TRUE;
1166;Dettes rattachées;;1;116;C;TRUE;TRUE;
1167;Créances rattachées;;1;116;D;TRUE;TRUE;
117;Autres institutions financières;;1;11;D;FALSE;TRUE;
1171;Autres institutions financières;;1;117;D;TRUE;TRUE;
1176;Dettes rattachées;;1;117;C;TRUE;TRUE;
1177;Créances rattachées;;1;117;D;TRUE;TRUE;
12;AUTRES COMPTES DE DEPOTS CHEZ LES INSTITUTIONS FINANCIERES;;1;;D;FALSE;TRUE;
126;Dépôts à terme constitués;;1;12;D;FALSE;TRUE;
1261;Dépôts à terme constitués;;1;126;D;TRUE;TRUE;
1267;Créances rattachées;;1;126;D;TRUE;TRUE;
127;Dépôts de garantie constitués;;1;12;D;FALSE;TRUE;
1271;Dépôts de garantie constitués;;1;127;D;TRUE;TRUE;
1277;Créances rattachées;;1;127;D;TRUE;TRUE;
128;Autres dépôts constitués;;1;12;D;FALSE;TRUE;
1281;Autres dépôts constitués;;1;128;D;TRUE;TRUE;
1287;Créances rattachées;;1;128;D;TRUE;TRUE;
13;COMPTES DE PRETS AUX INSTITUTIONS FINANCIERES;;1;;D;FALSE;TRUE;
131;Prêts à moins d’1 an;;1;13;D;FALSE;TRUE;
1311;Prêts à moins d’1 an;;1;131;D;TRUE;TRUE;
1317;Créances rattachées;;1;131;D;TRUE;TRUE;
133;Prêts à terme;;1;13;D;FALSE;TRUE;
1331;Prêts à terme;;1;133;D;TRUE;TRUE;
1337;Créances rattachées;;1;133;D;TRUE;TRUE;
15;COMPTES ORDINAIRES DES INSTITUTIONS FINANCIERES;;1;;C;FALSE;TRUE;
154;Banques et correspondants;;1;15;C;FALSE;TRUE;
1541;Banques et correspondants;;1;154;C;TRUE;TRUE;
1546;Dettes rattachées;;1;154;C;TRUE;TRUE;
1547;Créances rattachées;;1;154;D;TRUE;TRUE;
156;Systèmes Financiers Décentralisés;;1;15;C;FALSE;TRUE;
1561;Systèmes Financiers Décentralisés;;1;156;C;TRUE;TRUE;
1566;Dettes rattachées;;1;156;C;TRUE;TRUE;
1567;Créances rattachées;;1;156;D;TRUE;TRUE;
157;Autres institutions financières;;1;15;C;FALSE;TRUE;
1571;Autres institutions financières;;1;157;C;TRUE;TRUE;
1576;Dettes rattachées;;1;157;C;TRUE;TRUE;
1577;Créances rattachées;;1;157;D;TRUE;TRUE;
16;AUTRES COMPTES DE DEPOTS DES INSTITUTIONS FINANCIERES;;1;;C;FALSE;TRUE;
161;Dépôts à terme reçus;;1;16;C;FALSE;TRUE;
1611;Dépôts à terme reçus;;1;161;C;TRUE;TRUE;
1616;Dettes rattachées;;1;161;C;TRUE;TRUE;
162;Dépôts de garantie reçus;;1;16;C;FALSE;TRUE;
1621;Dépôts de garantie reçus;;1;162;C;TRUE;TRUE;
1626;Dettes rattachées;;1;162;C;TRUE;TRUE;
165;Autres dépôts reçus;;1;16;C;FALSE;TRUE;
1651;Autres dépôts reçus;;1;165;C;TRUE;TRUE;
1656;Dettes rattachées;;1;165;C;TRUE;TRUE;
17;COMPTES D'EMPRUNTS ET AUTRES SOMMES DUES AUX INSTITUTIONS FINANCIERES;;1;;C;FALSE;TRUE;
175;Emprunts à moins d’un an;;1;17;C;FALSE;TRUE;
1751;Emprunts à moins d’un an;;1;175;C;TRUE;TRUE;
1756;Dettes rattachées;;1;175;C;TRUE;TRUE;
178;Emprunts à terme;;1;17;C;FALSE;TRUE;
1781;Emprunts à terme;;1;178;C;TRUE;TRUE;
1786;Dettes rattachées;;1;178;C;TRUE;TRUE;
179;Autres sommes dues aux institutions financières;;1;17;C;TRUE;TRUE;
18;RESSOURCES AFFECTEES;;1;;C;FALSE;TRUE;
181;Ressources affectées à court terme;;1;18;C;TRUE;TRUE;
182;Ressources affectées à moyen terme;;1;18;C;TRUE;TRUE;
183;Ressources affectées à long terme;;1;18;C;TRUE;TRUE;
184;Intérêts capitalisés;;1;18;C;TRUE;TRUE;
19;COMPTES DE PRETS EN SOUFFRANCE ET IMMOBILISES;;1;;D;FALSE;TRUE;
191;Prêts immobilisés;;1;19;D;TRUE;TRUE;
192;Prêts en souffrance de 6 mois au plus;;1;19;D;FALSE;TRUE;
1921;Prêts en souffrance de 0 à 3 mois au plus;;1;192;D;TRUE;TRUE;
1922;Prêts en souffrance de plus de 3 mois à 6 mois au plus;;1;192;D;TRUE;TRUE;
193;Prêts en souffrance de plus de 6 mois à 12 mois au plus;;1;19;D;TRUE;TRUE;
194;Prêts en souffrance de plus de 12 mois à 24 mois au plus;;1;19;D;TRUE;TRUE;
199;Provisions sur prêts en souffrance;;1;19;C;FALSE;TRUE;
1991;Provisions sur prêts en souffrance de 6 mois au plus;;1;199;C;TRUE;TRUE;
1992;Provisions sur prêts en souffrance de plus de 6 mois à 12 mois au plus;;1;199;C;TRUE;TRUE;
1993;Provisions sur prêts en souffrance de plus de 12 mois à 24 mois au plus;;1;199;C;TRUE;TRUE;
20;CREDITS AUX MEMBRES, BENEFICIAIRES OU CLIENTS;;2;;D;FALSE;TRUE;
202;Crédits à court terme;;2;20;D;FALSE;TRUE;
2022;Crédits ordinaires;;2;202;D;FALSE;TRUE;
20227;Créances rattachées;;2;2022;D;TRUE;TRUE;
2023;Découverts;;2;202;D;TRUE;TRUE;
203;Crédits à moyen terme;;2;20;D;FALSE;TRUE;
2031;Crédits à moyen terme;;2;203;D;TRUE;TRUE;
2037;Créances rattachées;;2;203;D;TRUE;TRUE;
25;COMPTES DES MEMBRES, BENEFICIAIRES OU CLIENTS;;2;;C;FALSE;TRUE;
251;Comptes ordinaires;;2;25;C;FALSE;TRUE;
2511;Comptes ordinaires;;2;251;C;FALSE;TRUE;
251111;Comptes ordinaires — membres;;2;2511;C;TRUE;TRUE;
251121;Comptes ordinaires — clients;;2;2511;C;TRUE;TRUE;
25116;Dettes rattachées;;2;2511;C;TRUE;TRUE;
25117;Créances rattachées;;2;2511;D;TRUE;TRUE;
2512;Comptes ordinaires sur livret;;2;251;C;FALSE;TRUE;
251211;Comptes ordinaires sur livret — membres;;2;2512;C;TRUE;TRUE;
251221;Comptes ordinaires sur livret — clients;;2;2512;C;TRUE;TRUE;
25126;Dettes rattachées;;2;2512;C;TRUE;TRUE;
252;Dépôts à terme reçus;;2;25;C;FALSE;TRUE;
2521;Dépôts à terme reçus;;2;252;C;FALSE;TRUE;
252111;Dépôts à terme reçus — membres;;2;2521;C;TRUE;TRUE;
252121;Dépôts à terme reçus — clients;;2;2521;C;TRUE;TRUE;
2526;Dettes rattachées;;2;252;C;TRUE;TRUE;
253;Comptes d'épargne à régime spécial (livrets d'épargne, comptes d'épargne-logement, plan d'épargne-logement);;2;25;C;FALSE;TRUE;
2531;Compte d’épargne sur livret;;2;253;C;FALSE;TRUE;
253111;Compte d'épargne sur livret — membres;;2;2531;C;TRUE;TRUE;
253121;Compte d'épargne sur livret — clients;;2;2531;C;TRUE;TRUE;
25316;Dettes rattachées;;2;2531;C;TRUE;TRUE;
254;Dépôts de garantie reçus;;2;25;C;FALSE;TRUE;
2545;Dépôts de garantie reçus;;2;254;C;TRUE;TRUE;
2546;Dettes rattachées;;2;254;C;TRUE;TRUE;
255;Autres dépôts reçus;;2;25;C;FALSE;TRUE;
2551;Autres dépôts reçus;;2;255;C;TRUE;TRUE;
2556;Dettes rattachées;;2;255;C;TRUE;TRUE;
27;EMPRUNTS ET AUTRES SOMMES DUES AUX MEMBRES, BENEFICIAIRES OU CLIENTS;;2;;C;FALSE;TRUE;
271;Emprunts aux membres, bénéficiaires ou clients;;2;27;C;FALSE;TRUE;
2711;Emprunts;;2;271;C;TRUE;TRUE;
2716;Dettes rattachées;;2;271;C;TRUE;TRUE;
272;Autres sommes dues aux membres, bénéficiaires ou clients;;2;27;C;FALSE;TRUE;
2721;Dispositions à payer;;2;272;C;TRUE;TRUE;
2722;Provisions pour chèques certifiés;;2;272;C;TRUE;TRUE;
2725;Divers;;2;272;C;TRUE;TRUE;
2726;Dettes rattachées;;2;272;C;TRUE;TRUE;
