compte;intitule;classe
10;VALEURS EN CAISSE;1
101;Billets et monnaies;1
1011;Billets et monnaies émis par la BCEAO;1
11;COMPTES ORDINAIRES CHEZ LES INSTITUTIONS FINANCIERES;1
113;Centre des Chèques postaux;1
1131;Centre des Chèques postaux;1
1136;Dettes rattachées;1
1137;Créances rattachées;1
114;Banques et correspondants;1
1141;Banques et correspondants;1
1146;Dettes rattachées;1
1147;Créances rattachées;1
116;Systèmes Financiers Décentralisés;1
1161;Systèmes Financiers Décentralisés;1
1166;Dettes rattachées;1
1167;Créances rattachées;1
117;Autres institutions financières;1
1171;Autres institutions financières;1
1176;Dettes rattachées;1
1177;Créances rattachées;1
12;AUTRES COMPTES DE DEPOTS CHEZ LES INSTITUTIONS FINANCIERES;1
126;Dépôts à terme constitués;1
1261;Dépôts à terme constitués;1
1267;Créances rattachées;1
127;Dépôts de garantie constitués;1
1271;Dépôts de garantie constitués;1
1277;Créances rattachées;1
128;Autres dépôts constitués;1
1281;Autres dépôts constitués;1
1287;Créances rattachées;1
13;COMPTES DE PRETS AUX INSTITUTIONS FINANCIERES;1
131;Prêts à moins d’1 an;1
1311;Prêts à moins d’1 an;1
1317;Créances rattachées;1
133;Prêts à terme;1
1331;Prêts à terme;1
1337;Créances rattachées;1
15;COMPTES ORDINAIRES DES INSTITUTIONS FINANCIERES;1
154;Banques et correspondants;1
1541;Banques et correspondants;1
1546;Dettes rattachées;1
1547;Créances rattachées;1
156;Systèmes Financiers Décentralisés;1
1561;Systèmes Financiers Décentralisés;1
1566;Dettes rattachées;1
1567;Créances rattachées;1
157;Autres institutions financières;1
1571;Autres institutions financières;1
1576;Dettes rattachées;1
1577;Créances rattachées;1
16;AUTRES COMPTES DE DEPOTS DES INSTITUTIONS FINANCIERES;1
161;Dépôts à terme reçus;1
1611;Dépôts à terme reçus;1
1616;Dettes rattachées;1
162;Dépôts de garantie reçus;1
1621;Dépôts de garantie reçus;1
1626;Dettes rattachées;1
165;Autres dépôts reçus;1
1651;Autres dépôts reçus;1
1656;Dettes rattachées;1
17;COMPTES D'EMPRUNTS ET AUTRES SOMMES DUES AUX INSTITUTIONS FINANCIERES;1
175;Emprunts à moins d’un an;1
1751;Emprunts à moins d’un an;1
1756;Dettes rattachées;1
178;Emprunts à terme;1
1781;Emprunts à terme;1
1786;Dettes rattachées;1
179;Autres sommes dues aux institutions financières;1
18;RESSOURCES AFFECTEES;1
181;Ressources affectées à court terme;1
182;Ressources affectées à moyen terme;1
183;Ressources affectées à long terme;1
184;Intérêts capitalisés;1
19;COMPTES DE PRETS EN SOUFFRANCE ET IMMOBILISES;1
191;Prêts immobilisés;1
192;Prêts en souffrance de 6 mois au plus;1
1921;Prêts en souffrance de 0 à 3 mois au plus;1
1922;Prêts en souffrance de plus de 3 mois à 6 mois au plus;1
